,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,new_term,int_rates_add_2pct
0,112033235,,7200,7200,7200,36 months,19.03,264.04,D,D3,17-Jun,Current,n,,other,Other,130xx,NY,28.03,0,13-Aug,1,,,20,0,5301,22.1,21,f,48 months,21.03000069
1,111813434,,2250,2250,2250,36 months,19.03,82.52,D,D3,17-Jun,Current,n,,other,Other,070xx,NJ,9.55,2,4-Jul,0,17,85,7,1,5700,74,11,w,48 months,21.03000069
2,112309742,,3600,3600,3600,36 months,19.03,132.02,D,D3,17-Jun,Current,n,,other,Other,802xx,CO,14.53,0,7-Jul,1,,26,3,3,233,23.3,7,w,48 months,21.03000069
3,112050681,,9700,9700,9700,36 months,12.62,325.06,C,C1,17-Jun,Current,n,,other,Other,492xx,MI,1.49,0,8-Feb,0,,,6,0,19,0,9,w,48 months,14.61999989
4,111760437,,2500,2500,2500,36 months,12.62,83.78,C,C1,17-Jun,Current,n,,other,Other,930xx,CA,23.8,0,14-May,1,,,7,0,5740,29.3,7,w,48 months,14.61999989
5,112290210,,16000,16000,16000,60 months,12.62,360.95,C,C1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,021xx,MA,25.61,0,Jun-92,0,,,9,0,33752,105.8,26,w,NULL,14.61999989
6,112360031,,12000,12000,12000,60 months,15.05,285.8,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,953xx,CA,31.43,0,6-Feb,1,,,10,0,15227,79.7,12,w,NULL,17.05000019
7,112038251,,11575,11575,11575,36 months,7.35,359.26,A,A4,17-Jun,Fully Paid,n,,credit_card,Credit card refinancing,923xx,CA,16.99,0,Jul-94,0,24,84,20,1,8550,22.7,46,w,NULL,9.349999905
8,112134207,,20400,20400,20400,60 months,7.97,413.35,A,A5,17-Jun,Current,n,,major_purchase,Major purchase,286xx,NC,11.07,0,May-87,1,40,,8,0,5294,8.1,21,w,NULL,9.96999979
9,112149045,,7200,7200,7200,36 months,24.85,285.7,E,E3,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,985xx,WA,6.07,0,Jan-00,0,72,,4,0,3560,98.9,5,w,NULL,26.85000038
10,112119128,,25000,25000,25000,60 months,15.05,595.41,C,C4,17-Jun,Current,n,,credit_card,Credit card refinancing,852xx,AZ,15.98,0,Dec-97,0,,,13,0,26947,73.2,18,w,NULL,17.05000019
11,112052261,,7500,7500,7500,36 months,7.35,232.79,A,A4,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,750xx,TX,13.12,0,13-Mar,2,,,19,0,23348,27.2,27,w,NULL,9.349999905
12,111498756,,12000,12000,12000,60 months,14.08,279.72,C,C3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,802xx,CO,32.49,0,Jul-98,0,,,9,0,13155,44.9,18,w,NULL,16.07999992
13,112314147,,12000,12000,12000,60 months,30.65,393.05,F,F4,17-Jun,Current,n,,house,Home buying,970xx,OR,19.9,2,Aug-99,0,13,,17,0,26371,78,40,w,NULL,32.64999962
14,112441173,,15000,15000,15000,60 months,12.62,338.39,C,C1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,306xx,GA,21.9,0,Nov-93,1,,,12,0,14646,23,24,w,NULL,14.61999989
15,111226724,,18950,18950,18950,60 months,21.45,517.47,D,D5,17-Jun,Current,n,,credit_card,Credit card refinancing,950xx,CA,31.39,0,Mar-82,2,35,,12,0,329271,98,17,w,NULL,23.45000076
16,112438671,,26000,26000,26000,60 months,12.62,586.54,C,C1,17-Jun,Current,n,,credit_card,Credit card refinancing,786xx,TX,24.71,1,Nov-00,0,13,,24,0,54029,63.7,37,w,NULL,14.61999989
17,111999259,,10000,10000,10000,60 months,16.02,243.29,C,C5,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,958xx,CA,10.11,0,6-Aug,0,,55,15,2,5733,20,21,w,NULL,18.02000046
18,110441284,,25000,25000,25000,60 months,15.05,595.41,C,C4,17-Jun,Current,n,,credit_card,Credit card refinancing,346xx,FL,16.21,0,1-Jun,1,61,,9,0,28440,70.4,11,w,NULL,17.05000019
19,111413286,,16000,16000,16000,60 months,12.62,360.95,C,C1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,554xx,MN,21.7,3,Jul-89,0,16,,22,0,102527,49.4,43,w,NULL,14.61999989
20,111835534,,40000,40000,40000,60 months,14.08,932.39,C,C3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,152xx,PA,15.8,2,Dec-88,1,14,,12,0,17854,54.9,21,w,NULL,16.07999992
21,110987507,,28000,28000,28000,60 months,13.59,645.58,C,C2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,435xx,OH,6.04,1,Jun-96,1,5,,4,0,33458,93,15,w,NULL,15.59000015
22,111849195,,26750,26750,26750,60 months,13.59,616.76,C,C2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,452xx,OH,23.8,0,Mar-98,0,,,13,0,24721,51.1,26,w,NULL,15.59000015
23,111737590,,17600,17600,17600,60 months,9.93,373.35,B,B2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,128xx,NY,25.42,0,Mar-99,0,,,6,0,20795,52,8,w,NULL,11.93000031
24,112154340,,20000,20000,20000,60 months,13.59,461.13,C,C2,17-Jun,Current,n,,home_improvement,Home improvement,301xx,GA,29.23,0,Aug-85,0,43,,39,0,149574,29.8,73,w,NULL,15.59000015
25,111539554,,20000,20000,20000,60 months,18.06,508.53,D,D2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,800xx,CO,16.41,0,11-Apr,1,,81,7,1,19203,80.7,8,w,NULL,20.05999947
26,111776983,,28000,28000,28000,60 months,17.09,697.23,D,D1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,300xx,GA,24.07,0,13-Feb,0,,,10,0,18802,81,12,w,NULL,19.09000015
27,112052888,,13200,13200,13200,60 months,19.03,342.64,D,D3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,834xx,ID,25.28,0,12-Jun,1,,,12,0,16411,67.8,14,w,NULL,21.03000069
28,110627713,,14000,14000,14000,60 months,15.05,333.43,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,900xx,CA,16.04,0,7-Mar,0,70,,13,0,11553,66,20,w,NULL,17.05000019
29,110919365,,10200,10200,10200,60 months,14.08,237.76,C,C3,17-Jun,Current,n,,credit_card,Credit card refinancing,450xx,OH,11.05,1,6-Jun,0,6,,6,0,5378,51.2,11,w,NULL,16.07999992
30,112032757,,12000,12000,12000,60 months,21.45,327.69,D,D5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,152xx,PA,12.26,0,7-May,0,,,8,0,12068,35.6,10,w,NULL,23.45000076
31,111110566,,25600,25600,25600,60 months,13.59,590.24,C,C2,17-Jun,Current,n,,credit_card,Credit card refinancing,672xx,KS,14.6,0,4-May,1,,,9,0,63426,32.3,27,w,NULL,15.59000015
32,112051969,,28800,28800,28800,60 months,15.05,685.91,C,C4,17-Jun,Current,n,,debt_consolidation,Debt consolidation,952xx,CA,34.44,0,Aug-99,2,,,9,0,21774,95.1,17,w,NULL,17.05000019
33,110659062,,32000,32000,32000,60 months,10.42,686.54,B,B3,17-Jun,Current,n,,small_business,Business,770xx,TX,6.67,0,Apr-98,0,,47,12,1,18486,22.5,20,w,NULL,12.42000008
34,111808508,,14000,14000,14000,36 months,16.02,492.34,C,C5,17-Jun,Fully Paid,n,,debt_consolidation,Debt consolidation,026xx,MA,10.86,1,8-May,0,17,,4,0,2700,90,10,w,NULL,18.02000046
35,111071764,,17700,17700,17700,36 months,30.79,759.08,G,G1,17-Jun,Fully Paid,n,,home_improvement,Home improvement,080xx,NJ,7.09,0,Oct-89,3,29,80,14,1,11807,24.3,36,f,NULL,32.79000092
36,112047583,,28000,28000,28000,60 months,9.44,587.24,B,B1,17-Jun,Current,n,,home_improvement,Home improvement,278xx,NC,27.62,0,4-Apr,0,,,10,0,4828,13.8,29,w,NULL,11.43999958
37,111112804,,23000,23000,23000,60 months,15.05,547.78,C,C4,17-Jun,Current,n,,credit_card,Credit card refinancing,925xx,CA,19.88,0,5-Mar,0,,,10,0,11531,46.9,15,w,NULL,17.05000019
38,112436524,,40000,40000,40000,60 months,9.93,848.51,B,B2,17-Jun,Current,n,,credit_card,Credit card refinancing,300xx,GA,23.67,0,3-Aug,0,,,13,0,40300,80.6,31,w,NULL,11.93000031
39,112031386,,12000,12000,12000,60 months,26.3,361.42,E,E5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,932xx,CA,32.99,0,Jun-94,0,,99,12,1,12139,42.9,21,w,NULL,28.29999924
40,112062595,,21000,21000,21000,60 months,14.08,489.51,C,C3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,770xx,TX,12.86,0,1-Oct,0,,,16,0,14543,39.2,19,w,NULL,16.07999992
41,112313910,,11200,11200,11200,60 months,21.45,305.84,D,D5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,323xx,FL,26.38,0,5-Dec,0,,64,17,1,21673,50.1,31,w,NULL,23.45000076
42,112438361,,16800,16800,16800,60 months,14.08,391.61,C,C3,17-Jun,Current,n,,credit_card,Credit card refinancing,297xx,SC,27.86,0,Oct-99,0,29,,19,0,24774,56,28,w,NULL,16.07999992
43,111826922,,12000,12000,12000,60 months,14.08,279.72,C,C3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,800xx,CO,0.5,0,7-Sep,0,33,,4,0,1401,26.9,12,w,NULL,16.07999992
44,111005622,,10000,10000,10000,60 months,13.59,230.57,C,C2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,800xx,CO,19.54,0,4-Sep,0,,,9,0,17246,66.3,21,w,NULL,15.59000015
45,111642246,,16000,16000,16000,60 months,15.05,381.06,C,C4,17-Jun,Current,n,,house,Home buying,229xx,VA,509.05,0,Apr-88,0,55,,17,0,19647,62.2,63,w,NULL,17.05000019
46,110394504,,21000,21000,21000,60 months,14.08,489.51,C,C3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,945xx,CA,5.55,0,May-93,1,,,5,0,14892,71.6,11,w,NULL,16.07999992
47,111874726,,11000,11000,11000,60 months,16.02,267.62,C,C5,17-Jun,Current,n,,credit_card,Credit card refinancing,211xx,MD,22.15,0,4-Mar,0,,,26,0,15217,40.6,35,w,NULL,18.02000046
48,112052761,,40000,40000,40000,60 months,13.59,922.25,C,C2,17-Jun,Current,n,,home_improvement,Home improvement,950xx,CA,9.86,0,Sep-99,0,,,10,0,207244,33.9,32,w,NULL,15.59000015
49,112119601,,25000,25000,25000,60 months,19.03,648.93,D,D3,17-Jun,Current,n,,debt_consolidation,Debt consolidation,234xx,VA,7.77,0,Apr-97,0,,,12,0,18453,47.2,17,w,NULL,21.03000069
50,112056369,,32000,32000,32000,60 months,21.45,873.83,D,D5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,276xx,NC,29.08,0,2-Jan,0,28,,9,0,17325,78.8,20,w,NULL,23.45000076
51,112084686,,20000,20000,20000,60 months,9.93,424.26,B,B2,17-Jun,Current,n,,credit_card,Credit card refinancing,212xx,MD,16.44,0,4-Dec,1,42,,12,0,35476,53.8,25,w,NULL,11.93000031
52,112290050,,15000,15000,15000,60 months,13.59,345.85,C,C2,17-Jun,Current,n,,debt_consolidation,Debt consolidation,207xx,MD,21.08,0,1-Sep,1,61,,21,0,16258,28.9,34,w,NULL,15.59000015
53,111917820,,10000,10000,10000,60 months,12.62,225.6,C,C1,17-Jun,Current,n,,debt_consolidation,Debt consolidation,296xx,SC,15.41,0,13-Jan,3,,,11,0,8305,27,21,w,NULL,14.61999989
54,111683189,,12875,12875,12875,60 months,15.05,306.64,C,C4,17-Jun,Current,n,,credit_card,Credit card refinancing,104xx,NY,26.62,0,11-Jun,0,,,17,0,18589,38.4,20,w,NULL,17.05000019
55,110466888,,18000,18000,18000,60 months,11.99,400.31,B,B5,17-Jun,Current,n,,debt_consolidation,Debt consolidation,370xx,TN,36.43,0,Mar-99,0,42,,9,0,20748,62.5,18,w,NULL,13.98999977
56,112056461,,36000,36000,36000,60 months,16.02,875.84,C,C5,17-Jun,Current,n,,credit_card,Credit card refinancing,337xx,FL,23.06,0,May-93,0,27,,12,0,237876,81.4,22,w,NULL,18.02000046
